Isin,MbeId,IssuerName,CouponRate,FaceValue,Ltp,CreditRating,MaturityDate,SecurityDescription,Currency,noOfLots,TokenizedLot,TotalTokenQty,TokenQtyRemaining
INE774D08LT8,shreyanshnema@inclusivegrowthchain.com,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD,8.53%,1,1,IND AAA/Stable ();CARE AAA/Stable (),06-06-2026,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD SR-III8.53 NCD06JU26FVRS1000LOAUPTO24JL16,Rupee,10,0,0,0
INE721A07PE0,rajkumar@inclusivegrowthchain.com,SHRIRAM FINANCE LIMITED,9.70%,1,1.11,CARE AA+/Stable ();IND AA+/Stable ();CRISIL AA+/Stable,22-08-2026,SHRIRAM FINANCE LIMITED SERIES VII NCD 9.70 22AG26 FVRS1000,Rupee,2,0,0,0
INE651J07606,prudhvi@inclusivegrowthchain.com,JM FINANCIAL CREDIT SOLUTIONS LIMITED,9.50%,1,0.88,IND AA/Stable ();ICRA AA/Stable,07-06-2023,JM FINANCIAL CREDIT SOLUTIONS LIMITED TR 1 OPT III 9.5 NCD 07JU23 FVRS1000,Rupee,3,0,0,0
INE583D07240,rishav.goenka@inclusivegrowthchain.com,UGRO CAPITAL LIMITED,10%,1,1,ACUITE A/Stable (),04-11-2023,UGRO CAPITAL LIMITED SR I 10 NCD 04NV23 FVRS1000,Rupee,4,0,0,0
INE01I507042,prudhvi@inclusivegrowthchain.com,KLM AXIVA FINVEST LIMITED,12.00%,1,0.98,CARE BB+/Stable,05-11-2023,KLM AXIVA FINVEST LIMITED OPT IV 12 LOA 05NV23 FVRS1000,Rupee,1,0,0,0
INE033L07FZ3,shreyanshnema@inclusivegrowthchain.com,TATA CAPITAL HOUSING FINANCE LIMITED,8.80%,1,0.89,CRISIL AAA/Stable,25-09-2023,TATA CAPITAL HOUSING FINANCE LIMITED 8.8 NCD 25SP23 FVRS1000,Rupee,3,0,0,0
INE039A07801,rishav.goenka@inclusivegrowthchain.com,IFCI LIMITED,9.90%,1,1.14,ICRA B+/Negative;BWR BB/Negative,01-12-2024,IFCI LIMITED SR-VI 9.9 NCD 01DC24 FVRS1000 LOA UPTO 17MY15,Rupee,2,0,0,0
INE217K07AF7,prudhvi@inclusivegrowthchain.com,RELIANCE HOME FINANCE LIMITED,9.00%,1,0.98,CRISIL AAA / Stable,04-11-2025,RELIANCE HOME FINANCE LIMITED SR-III CAT I & II 9 NCD 03JN27 FVRS1000,Rupee,4,0,0,0
INE342T07189,shreyanshnema@inclusivegrowthchain.com,NAVI FINSERV LIMITED,9.20%,1,0.79,IND A/Stable,28-03-2024,NAVI FINSERV LIMITED SR I 9.20 NCD 08DC23 FVRS1000,Rupee,1,0,0,0
INE774D07ST5,muhsin@inclusivegrowthchain.com,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD,9.10%,1,1.311,IND AAA/Stable ;CARE AAA/Stable,18-01-2024,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD SRIICATI&II9.10NCD 18JN24FV1000 LOAUPTO21JN19,Rupee,5,0,0,0
INE804I075Y4,rishav.goenka@inclusivegrowthchain.com,ECL FINANCE LIMITED,9.25%,1,0.87,CRISIL AA-/Negative;ICRA A+/Stable (),06-08-2023,ECL FINANCE LIMITED SR-III 9.25 NCD 06AG23 FVRS1000,Rupee,1,0,0,0
INE872A07UQ5,prudhvi@inclusivegrowthchain.com,SREI EQUIPMENT FINANCE LIMITED,8.65%,1,1.31,BWR D,16-03-2023,SREI EQUIPMENT FINANCE LTD SR-VI 8.65 LOA 16MR23 FVRS1000,Rupee,4,0,0,0
INE945W07399,shreyanshnema@inclusivegrowthchain.com,INCRED FINANCIAL SERVICES LIMITED,9.25%,1,0.971,CRISIL A+/Stable (),18-02-2024,INCRED FINANCIAL SERVICES LIMITED SR 2 9.25 NCD 18FB24 FVRS1000,Rupee,2,0,0,0
INE884Q07061,muhsin@inclusivegrowthchain.com,MIDLAND MICROFIN LIMITED,12%,1,0.89,CARE BBB/Positive (),04-01-2024,MIDLAND MICROFIN LIMITED OPT 6 12 NCD 04JN24 FVRS10000,Rupee,4,0,0,0
INE866I08279,rishav.goenka@inclusivegrowthchain.com,IIFL FINANCE LIMITED,10%,1,1.16,CRISIL AA/Stable;ICRA AA/Stable;BWR AA+/Stable,07-02-2029,IIFL FINANCE LIMITED SR V 10 NCD 07FB29 FVRS1000,Rupee,6,0,0,0
INE651J07606,shreyanshnema@inclusivegrowthchain.com,JM FINANCIAL CREDIT SOLUTIONS LIMITED,9.50%,1,0.88,IND AA/Stable ();ICRA AA/Stable,07-06-2023,JM FINANCIAL CREDIT SOLUTIONS LIMITED TR 1 OPT III 9.5 NCD 07JU23 FVRS1000,Rupee,3,0,0,0
INE583D07240,muhsin@inclusivegrowthchain.com,UGRO CAPITAL LIMITED,10%,1,1,ACUITE A/Stable (),04-11-2023,UGRO CAPITAL LIMITED SR I 10 NCD 04NV23 FVRS1000,Rupee,4,0,0,0
INE01I507042,muhsin@inclusivegrowthchain.com,KLM AXIVA FINVEST LIMITED,12.00%,1,0.98,CARE BB+/Stable,05-11-2023,KLM AXIVA FINVEST LIMITED OPT IV 12 LOA 05NV23 FVRS1000,Rupee,4,0,0,0
INE027E07923,rishav.goenka@inclusivegrowthchain.com,L&T FINANCE LIMITED,9.10%,1,1.12,IND AAA/Stable;ICRA AAA/Stable;CARE AAA/Stable,08-09-2032,L&T FINANCE LIMITED SR III OPT 1 9.1 LOA 13MR24 FVRS1000,Rupee,6,0,0,0
INE033L07FZ3,rajkumar@inclusivegrowthchain.com,TATA CAPITAL HOUSING FINANCE LIMITED,8.80%,1,0.89,CRISIL AAA/Stable,25-09-2023,TATA CAPITAL HOUSING FINANCE LIMITED 8.8 NCD 25SP23 FVRS1000,Rupee,9,0,0,0
INE101Q07391,prudhvi@inclusivegrowthchain.com,MUTHOOTTU MINI FINANCIERS LTD,10.00%,1,0.99,IND A-/Stable,24-04-2024,MUTHOOTTU MINI FINANCIERS LTD SERIES VIII-V 10 NCD 24AP24 FVRS1000,Rupee,10,0,0,0
INE217K07AF7,muhsin@inclusivegrowthchain.com,RELIANCE HOME FINANCE LIMITED,9.00%,1,0.98,CRISIL AAA / Stable,04-11-2025,RELIANCE HOME FINANCE LIMITED SR-III CAT I & II 9 NCD 03JN27 FVRS1000,Rupee,6,0,0,0
INE219X07173,shreyanshnema@inclusivegrowthchain.com,INDIA GRID TRUST,6.65%,1,1.25,IND AAA/Stable ;CRISIL AAA/Stable,06-05-2024,INDIA GRID TRUST SR I CAT I&II 6.65 NCD 06MY24 FVRS1000,Rupee,1,0,0,0
INE342T07189,rishav.goenka@inclusivegrowthchain.com,NAVI FINSERV LIMITED,9.20%,1,0.79,IND A/Stable,28-03-2024,NAVI FINSERV LIMITED SR I 9.20 NCD 08DC23 FVRS1000,Rupee,4,0,0,0
INE774D07ST5,prudhvi@inclusivegrowthchain.com,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD,9.10%,1,1.311,IND AAA/Stable ;CARE AAA/Stable,18-01-2024,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD SRIICATI&II9.10NCD 18JN24FV1000 LOAUPTO21JN19,Rupee,2,0,0,0
INE872A07UQ5,muhsin@inclusivegrowthchain.com,SREI EQUIPMENT FINANCE LIMITED,8.65%,1,1.31,BWR D,16-03-2023,SREI EQUIPMENT FINANCE LTD SR-VI 8.65 LOA 16MR23 FVRS1000,Rupee,9,0,0,0
INE918K07FP8,rishav.goenka@inclusivegrowthchain.com,NUVAMA WEALTH FINANCE LIMITED,10%,1,1.05,CRISIL AA-/Stable;CARE AA-/Stable (),05-02-2023,NUVAMA WEALTH FINANCE LIMITED SR III 10 NCD 05FB23 FVRS1000,Rupee,10,0,0,0
INE945W07399,rajkumar@inclusivegrowthchain.com,INCRED FINANCIAL SERVICES LIMITED,9.25%,1,0.971,CRISIL A+/Stable (),18-02-2024,INCRED FINANCIAL SERVICES LIMITED SR 2 9.25 NCD 18FB24 FVRS1000,Rupee,6,0,0,0
INE884Q07061,prudhvi@inclusivegrowthchain.com,MIDLAND MICROFIN LIMITED,12%,1,0.89,CARE BBB/Positive (),04-01-2024,MIDLAND MICROFIN LIMITED OPT 6 12 NCD 04JN24 FVRS10000,Rupee,4,0,0,0
INE721A07PE0,shreyanshnema@inclusivegrowthchain.com,SHRIRAM FINANCE LIMITED,9.70%,1,1.11,CARE AA+/Stable ();IND AA+/Stable ();CRISIL AA+/Stable,22-08-2026,SHRIRAM FINANCE LIMITED SERIES VII NCD 9.70 22AG26 FVRS1000,Rupee,4,0,0,0
INE651J07606,rishav.goenka@inclusivegrowthchain.com,JM FINANCIAL CREDIT SOLUTIONS LIMITED,9.50%,1,0.88,IND AA/Stable ();ICRA AA/Stable,07-06-2023,JM FINANCIAL CREDIT SOLUTIONS LIMITED TR 1 OPT III 9.5 NCD 07JU23 FVRS1000,Rupee,9,0,0,0
INE583D07240,prudhvi@inclusivegrowthchain.com,UGRO CAPITAL LIMITED,10%,1,1,ACUITE A/Stable (),04-11-2023,UGRO CAPITAL LIMITED SR I 10 NCD 04NV23 FVRS1000,Rupee,6,0,0,0
